x,y,z
1532333629.04,4628009.749187022086449054920807,-2865746.105051208412352520997283,7119848.967422413628559458558349
1532333634.04,4627944.397448873096183983726629,-2881551.470529470567867362172374,7126833.520013476709157247359114
1532333639.04,4627804.310374473913015441779354,-2897317.398615627835801961659027,7133719.764322802606325949812014
1532333644.04,4627589.741660967310757689349724,-2913043.759108626508934577465197,7140507.949077431031056856993068
1532333649.04,4627300.942770550045845982747832,-2928730.421953689514505549928529,7147198.319878116083824733016915
1532333654.04,4626938.162959308757068329278046,-2944377.257229792051772520188736,7153791.119232963934424117343319
1532333659.04,4626501.649305539682380428723907,-2959984.135137298557998807438242,7160286.586590476797727628528154
1532333664.04,4625991.646737651662753283318595,-2975550.925985780622731414592353,7166684.958371940646932008845590
1532333669.04,4625408.398061466955458921035720,-2991077.500182005811686778047010,7172986.468003304200624827404967
1532333674.04,4624752.143987200709322829971673,-3006563.728218071009939577451946,7179191.345946372081921330787480
1532333679.04,4624023.123155894681223968344550,-3022009.480659705660542893387057,7185299.819729517632864815502159
1532333684.04,4623221.572165479382468538011200,-3037414.628134723372651525575870,7191312.113977828378009467721380
1532333689.04,4622347.725596311289730867261744,-3052779.041321619686758583073480,7197228.450442622960425973850207
1532333694.04,4621401.816036376989592213040777,-3068102.590938315903333759095653,7203049.048030542815659322277022
1532333699.04,4620384.074106026791446477844371,-3083385.147731031180846408855284,7208774.122832004713722711084586
1532333704.04,4619294.728482318636138569499853,-3098626.582463293352210219971387,7214403.888149229183196555024469
1532333709.04,4618134.005922964651663933349758,-3113826.765905100590632463489474,7219938.554523720396250669659287
1532333714.04,4616902.131289843213252146017769,-3128985.568822148663062064385176,7225378.329763246209788223945712
1532333719.04,4615599.327572240229005108461731,-3144102.861965250897521500443013,7230723.418968309525087991172903
1532333724.04,4614225.815909542690201091866727,-3159178.516059814892282604606039,7235974.024558187229781583560264
1532333729.04,4612781.815613725514381653623176,-3174212.401795478408825767094832,7241130.346296459185191411131132
1532333734.04,4611267.544191388861751982485475,-3189204.389815817513839148510547,7246192.581316078696743719712749
1532333739.04,4609683.217365457185058894709919,-3204154.350708189645260305844418,7251160.924144007414323780321849
1532333744.04,4608029.049096535959040924387323,-3219062.154993653101318325069919,7256035.566725362221500582750828
1532333749.04,4606305.251603941428001944988192,-3233927.673116997591079898596364,7260816.698447180590822012363753
1532333754.04,4604512.035386355579337997529560,-3248750.775436875133081853383701,7265504.506161706892667959767345
1532333759.04,4602649.609242193622053378713064,-3263531.332216001354852297978269,7270099.174209265345078796607807
1532333764.04,4600718.180289650729111406492136,-3278269.213611466401607331431412,7274600.884440714402072649111669
1532333769.04,4598717.953986398932539358602412,-3292964.289665122064981387220795,7279009.816239502009758410743074
1532333774.04,4596649.134148982457090664058515,-3307616.430294033265326070691046,7283326.146543319776269522825987
1532333779.04,4594511.922971964684469835447559,-3322225.505281035124565532021612,7287550.049865351996411650906451
1532333784.04,4592306.521046696921120795387683,-3336791.384265373977730588538696,7291681.698315123909374283312654
1532333789.04,4590033.127379868781058302041542,-3351313.936733345875432525675243,7295721.261618988173276486161789
1532333794.04,4587691.939411700409244797921689,-3365793.032009113424800190709634,7299668.907140227609549026048495
1532333799.04,4585283.153033922083921758171199,-3380228.539245487064423922197358,7303524.799898774885463771765939
1532333804.04,4582806.962607421646429493958727,-3394620.327414848459105857562826,7307289.102590583310050436079201
1532333809.04,4580263.560979684078021069059042,-3408968.265300076239004899026225,7310961.975606638210809845573120
1532333814.04,4577653.139501887371902008255111,-3423272.221485572272855635433890,7314543.577051605396135810901099
1532333819.04,4574975.888045819459295041756801,-3437532.064348305429463670362102,7318034.062762149815832113297289
1532333824.04,4572231.995020470675450338158710,-3451747.662048942425114250370365,7321433.586324875675494353710429
1532333829.04,4569421.647388429344003517892973,-3465918.882523003694767715276580,7324742.299093970084023017938640
1532333834.04,4566545.030681982367836205177003,-3480045.593472073095437471402628,7327960.350208498064226101999387
1532333839.04,4563602.329019010635617595471609,-3494127.662355067173073820699466,7331087.886609376954022351723289
1532333844.04,4560593.725118654773879340106718,-3508164.956379499664956374425419,7334125.053056027210673857843069
1532333849.04,4557519.400316699866089223434785,-3522157.342492853457338768232520,7337071.992142685453241026959941
1532333854.04,4554379.534580783588189516143204,-3536104.687373940729268085134399,7339928.844314468519167965335306
1532333859.04,4551174.306525328833950911599714,-3550006.857424307319727831209883,7342695.747883024504914165172989
1532333864.04,4547903.893426322377865692564989,-3563863.718759681280311879007895,7345372.839041999821969737865549
1532333869.04,4544568.471235807699072059813562,-3577675.137201438596288882414405,7347960.251882125383258159425480
1532333874.04,4541168.214596216196949877528788,-3591440.978268108851326961080771,7350458.118406058917620666325001
1532333879.04,4537703.296854444287816004011846,-3605161.107166893091283913011001,7352866.568542867985170622251711
1532333884.04,4534173.890075787307777841531554,-3618835.388785215838445111115716,7355185.730162357403683157650221
1532333889.04,4530580.165057612461348422698846,-3632463.687682294153598455665427,7357415.729088942230095775432464
1532333894.04,4526922.291342872944672821221236,-3646045.868080729659801692934302,7359556.689115382607344338052244
1532333899.04,4523200.437233381247553009439797,-3659581.793858092595096715571259,7361608.732016203346741584749829
1532333904.04,4519414.769802951573906726628831,-3673071.328538577008696317162037,7363571.977560805709456799439550
1532333909.04,4515565.454910320051990614644904,-3686514.335284607932980914999775,7365446.543526361803874470853351
1532333914.04,4511652.657211896872170407839160,-3699910.676888495564927552133230,7367232.545710411576807397008853
1532333919.04,4507676.540174298814255000370566,-3713260.215764072429304095071148,7368930.097943239356865968825373
1532333924.04,4503637.266086761706869180564418,-3726562.813938379409708538229334,7370539.312099971615258537345248
1532333929.04,4499534.996073341641254384446085,-3739818.333043300549846430047726,7372060.298112357891730748212440
1532333934.04,4495369.890104932978036600553378,-3753026.634307246229909360289560,7373493.163980475367920541046926
1532333939.04,4491142.107011156828643511412600,-3766187.578546817016621229053762,7374838.015783980516868511266855
1532333944.04,4486851.804492050931605050991832,-3779301.026158456287564388340390,7376094.957693258638906902606707
1532333949.04,4482499.139129653369719126141054,-3792366.837110139719257478063937,7377264.091980284598667800323559
1532333954.04,4478084.266399301287071766313480,-3805384.870932995231463476382688,7378345.519029234624081354700350
1532333959.04,4473607.340680909886380469290766,-3818354.986712990549946220201610,7379339.337346877636689933595628
1532333964.04,4469068.515270032419767359173034,-3831277.043082552852531321959647,7380245.643572753791682910754250
1532333969.04,4464467.942388763960423205790941,-3844150.898212191143407517664971,7381064.532489089095649599374456
1532333974.04,4459805.773196511808337478338932,-3856976.409802128089114847464716,7381796.097030509718486580079267
1532333979.04,4455082.157800625765630343651427,-3869753.435073913282068704573555,7382440.428293500548392826907319
1532333984.04,4450297.245266848389527848382706,-3882481.830761975125107626605587,7382997.615545669213202977990320
1532333989.04,4445451.183629670568479038846567,-3895161.453105233636985809020623,7383467.746234806065288741591070
1532333994.04,4440544.119902522939744710795888,-3907792.157838601881848579520613,7383850.905997668692037586058138
1532333999.04,4435576.200087805341246523373496,-3920373.800184548860264609939205,7384147.178668606998107252980853
